atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,atc_level_05_note,DDD_O,DDD_oral_aerosol,DDD_P,DDD_R,DDD_SL,DDD_TD,unit_O,unit_oral_aerosol,unit_P,unit_R,unit_SL,unit_TD
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BA,"Antiarrhythmics, class Ia",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BA03,disopyramide,NA,0.4,NA,0.4,NA,NA,NA,g,NA,g,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BA,"Antiarrhythmics, class Ia",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BA04,sparteine,NA,NA,NA,0.2,NA,NA,NA,NA,NA,g,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BA,"Antiarrhythmics, class Ia",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BA05,ajmaline,NA,0.3,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BA,"Antiarrhythmics, class Ia",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BA08,prajmaline,NA,30,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BA,"Antiarrhythmics, class Ia",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BA12,lorajmine,NA,0.3,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BA,"Antiarrhythmics, class Ia",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BA13,hydroquinidine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BA,"Antiarrhythmics, class Ia",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BA51,"quinidine, combinations excl. psycholeptics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BA,"Antiarrhythmics, class Ia",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BA71,"quinidine, combinations with psycholeptics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BB,"Antiarrhythmics, class Ib",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BB01,lidocaine,NA,NA,NA,3,NA,NA,NA,NA,NA,g,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BB,"Antiarrhythmics, class Ib",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BB02,mexiletine,NA,0.8,NA,0.8,NA,NA,NA,g,NA,g,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BB,"Antiarrhythmics, class Ib",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BB03,tocainide,NA,1.2,NA,1.2,NA,NA,NA,g,NA,g,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BB,"Antiarrhythmics, class Ib",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BB04,aprindine,NA,0.1,NA,0.1,NA,NA,NA,g,NA,g,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BC,"Antiarrhythmics, class Ic",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BC03,propafenone,NA,0.3,NA,0.3,NA,NA,NA,g,NA,g,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BC,"Antiarrhythmics, class Ic",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BC04,flecainide,NA,0.2,NA,0.2,NA,NA,NA,g,NA,g,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BC,"Antiarrhythmics, class Ic",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BC07,lorcainide,NA,NA,NA,0.2,NA,NA,NA,NA,NA,g,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BC,"Antiarrhythmics, class Ic",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BC08,encainide,NA,0.1,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BC,"Antiarrhythmics, class Ic",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BC09,ethacizine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BD,"Antiarrhythmics, class III",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations. The DDD for ibutilide refer to ibutilide fumarate.,C01BD01,amiodarone,NA,0.2,NA,0.2,NA,NA,NA,g,NA,g,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BD,"Antiarrhythmics, class III",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations. The DDD for ibutilide refer to ibutilide fumarate.,C01BD02,bretylium tosilate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BD,"Antiarrhythmics, class III",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations. The DDD for ibutilide refer to ibutilide fumarate.,C01BD03,bunaftine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BD,"Antiarrhythmics, class III",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations. The DDD for ibutilide refer to ibutilide fumarate.,C01BD04,dofetilide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BD,"Antiarrhythmics, class III",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations. The DDD for ibutilide refer to ibutilide fumarate.,C01BD05,ibutilide,NA,NA,NA,1,NA,NA,NA,NA,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BD,"Antiarrhythmics, class III",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations. The DDD for ibutilide refer to ibutilide fumarate.,C01BD06,tedisamil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BD,"Antiarrhythmics, class III",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations. The DDD for ibutilide refer to ibutilide fumarate.,C01BD07,dronedarone,NA,0.8,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BG,"Other antiarrhythmics, class I and III",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BG01,moracizine,NA,0.75,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BG,"Other antiarrhythmics, class I and III",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BG07,cibenzoline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BG,"Other antiarrhythmics, class I and III",The DDDs are based on the prophylaxis and treatment of supraventricular and ventricular arrhythmias.  The DDDs are based on the maintenance dose.  Preparations for parenteral administration are only used initially and are therefore given the same DDD as oral preparations.,C01BG11,vernakalant,NA,NA,NA,0.2,NA,NA,NA,NA,NA,g,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA01,etilefrine,NA,50,NA,50,NA,NA,NA,mg,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA02,isoprenaline,NA,90,NA,90,NA,NA,NA,mg,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA03,norepinephrine,NA,NA,NA,6,NA,NA,NA,NA,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA04,dopamine,NA,NA,NA,0.5,NA,NA,NA,NA,NA,g,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA05,norfenefrine,NA,25,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA06,phenylephrine,NA,NA,NA,4,NA,NA,NA,NA,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA07,dobutamine,NA,NA,NA,0.5,NA,NA,NA,NA,NA,g,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA08,oxedrine,NA,0.2,NA,0.2,NA,NA,NA,g,NA,g,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA09,metaraminol,NA,NA,NA,50,NA,NA,NA,NA,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA10,methoxamine,NA,NA,NA,30,NA,NA,NA,NA,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA11,mephentermine,NA,NA,NA,30,NA,NA,NA,NA,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA12,dimetofrine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA13,prenalterol,NA,NA,NA,10,NA,NA,NA,NA,NA,mg,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA14,dopexamine,NA,NA,NA,0.5,NA,NA,NA,NA,NA,g,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA15,gepefrine,NA,30,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA16,ibopamine,NA,0.3,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA17,midodrine,NA,30,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA18,octopamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA19,fenoldopam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA21,cafedrine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA22,arbutamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C,CARDIOVASCULAR SYSTEM,C01,CARDIAC THERAPY,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic agents,This group includes various drugs used on different indications.  The DDDs are therefore established individually for each substance (i.e. each ATC 5th level).,C01CA23,theodrenaline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
