atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,atc_level_05_note,DDD_inhaleaerosol,DDD_inhalepowder,DDD_inhalesolution,DDD_instillsolution,DDD_N,DDD_O,DDD_P,DDD_R,unit_inhaleaerosol,unit_inhalepowder,unit_inhalesolution,unit_instillsolution,unit_N,unit_O,unit_P,unit_R
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AA,"Sympathomimetics, plain",The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of acute rhinitis.,R01AA14,epinephrine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AA,"Sympathomimetics, plain",The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of acute rhinitis.,R01AA15,indanazoline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AB,"Sympathomimetics, combinations excl. corticosteroids","The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of rhinitis.  DDDs are given in volume (i.e. ml).  Most of the products classified in this group are combinations with antihistamines.  So far, all these products are given a fixed DDD of 0.8 ml.",R01AB01,phenylephrine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AB,"Sympathomimetics, combinations excl. corticosteroids","The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of rhinitis.  DDDs are given in volume (i.e. ml).  Most of the products classified in this group are combinations with antihistamines.  So far, all these products are given a fixed DDD of 0.8 ml.",R01AB02,naphazoline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AB,"Sympathomimetics, combinations excl. corticosteroids","The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of rhinitis.  DDDs are given in volume (i.e. ml).  Most of the products classified in this group are combinations with antihistamines.  So far, all these products are given a fixed DDD of 0.8 ml.",R01AB03,tetryzoline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AB,"Sympathomimetics, combinations excl. corticosteroids","The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of rhinitis.  DDDs are given in volume (i.e. ml).  Most of the products classified in this group are combinations with antihistamines.  So far, all these products are given a fixed DDD of 0.8 ml.",R01AB05,ephedrine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AB,"Sympathomimetics, combinations excl. corticosteroids","The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of rhinitis.  DDDs are given in volume (i.e. ml).  Most of the products classified in this group are combinations with antihistamines.  So far, all these products are given a fixed DDD of 0.8 ml.",R01AB06,xylometazoline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AB,"Sympathomimetics, combinations excl. corticosteroids","The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of rhinitis.  DDDs are given in volume (i.e. ml).  Most of the products classified in this group are combinations with antihistamines.  So far, all these products are given a fixed DDD of 0.8 ml.",R01AB07,oxymetazoline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AB,"Sympathomimetics, combinations excl. corticosteroids","The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of rhinitis.  DDDs are given in volume (i.e. ml).  Most of the products classified in this group are combinations with antihistamines.  So far, all these products are given a fixed DDD of 0.8 ml.",R01AB08,tuaminoheptane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AC,"Antiallergic agents, excl. corticosteroids",The DDDs are based on treatment of both nostrils. The DDD of cromoglicic acid is based on the prophylaxis of rhinitis.  The DDDs of the antihistamines are based on the maintenance treatment of rhinitis.,R01AC01,cromoglicic acid,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AC,"Antiallergic agents, excl. corticosteroids",The DDDs are based on treatment of both nostrils. The DDD of cromoglicic acid is based on the prophylaxis of rhinitis.  The DDDs of the antihistamines are based on the maintenance treatment of rhinitis.,R01AC02,levocabastine,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AC,"Antiallergic agents, excl. corticosteroids",The DDDs are based on treatment of both nostrils. The DDD of cromoglicic acid is based on the prophylaxis of rhinitis.  The DDDs of the antihistamines are based on the maintenance treatment of rhinitis.,R01AC03,azelastine,NA,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AC,"Antiallergic agents, excl. corticosteroids",The DDDs are based on treatment of both nostrils. The DDD of cromoglicic acid is based on the prophylaxis of rhinitis.  The DDDs of the antihistamines are based on the maintenance treatment of rhinitis.,R01AC04,antazoline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AC,"Antiallergic agents, excl. corticosteroids",The DDDs are based on treatment of both nostrils. The DDD of cromoglicic acid is based on the prophylaxis of rhinitis.  The DDDs of the antihistamines are based on the maintenance treatment of rhinitis.,R01AC05,spaglumic acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AC,"Antiallergic agents, excl. corticosteroids",The DDDs are based on treatment of both nostrils. The DDD of cromoglicic acid is based on the prophylaxis of rhinitis.  The DDDs of the antihistamines are based on the maintenance treatment of rhinitis.,R01AC06,thonzylamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AC,"Antiallergic agents, excl. corticosteroids",The DDDs are based on treatment of both nostrils. The DDD of cromoglicic acid is based on the prophylaxis of rhinitis.  The DDDs of the antihistamines are based on the maintenance treatment of rhinitis.,R01AC07,nedocromil,NA,NA,NA,NA,NA,10.4,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AC,"Antiallergic agents, excl. corticosteroids",The DDDs are based on treatment of both nostrils. The DDD of cromoglicic acid is based on the prophylaxis of rhinitis.  The DDDs of the antihistamines are based on the maintenance treatment of rhinitis.,R01AC08,olopatadine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AC,"Antiallergic agents, excl. corticosteroids",The DDDs are based on treatment of both nostrils. The DDD of cromoglicic acid is based on the prophylaxis of rhinitis.  The DDDs of the antihistamines are based on the maintenance treatment of rhinitis.,R01AC51,"cromoglicic acid, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD,Corticosteroids,The DDDs are based on treatment of both nostrils. The DDDs are mainly based on the starting dose in the treatment of rhinitis.,R01AD01,beclometasone,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD,Corticosteroids,The DDDs are based on treatment of both nostrils. The DDDs are mainly based on the starting dose in the treatment of rhinitis.,R01AD02,prednisolone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD,Corticosteroids,The DDDs are based on treatment of both nostrils. The DDDs are mainly based on the starting dose in the treatment of rhinitis.,R01AD03,dexamethasone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD,Corticosteroids,The DDDs are based on treatment of both nostrils. The DDDs are mainly based on the starting dose in the treatment of rhinitis.,R01AD04,flunisolide,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD,Corticosteroids,The DDDs are based on treatment of both nostrils. The DDDs are mainly based on the starting dose in the treatment of rhinitis.,R01AD05,budesonide,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD,Corticosteroids,The DDDs are based on treatment of both nostrils. The DDDs are mainly based on the starting dose in the treatment of rhinitis.,R01AD06,betamethasone,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD,Corticosteroids,The DDDs are based on treatment of both nostrils. The DDDs are mainly based on the starting dose in the treatment of rhinitis.,R01AD07,tixocortol,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD,Corticosteroids,The DDDs are based on treatment of both nostrils. The DDDs are mainly based on the starting dose in the treatment of rhinitis.,R01AD08,fluticasone,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD,Corticosteroids,The DDDs are based on treatment of both nostrils. The DDDs are mainly based on the starting dose in the treatment of rhinitis.,R01AD09,mometasone,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD,Corticosteroids,The DDDs are based on treatment of both nostrils. The DDDs are mainly based on the starting dose in the treatment of rhinitis.,R01AD11,triamcinolone,NA,NA,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD,Corticosteroids,The DDDs are based on treatment of both nostrils. The DDDs are mainly based on the starting dose in the treatment of rhinitis.,R01AD12,fluticasone furoate,NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD,Corticosteroids,The DDDs are based on treatment of both nostrils. The DDDs are mainly based on the starting dose in the treatment of rhinitis.,R01AD13,ciclesonide,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD,Corticosteroids,The DDDs are based on treatment of both nostrils. The DDDs are mainly based on the starting dose in the treatment of rhinitis.,R01AD52,"prednisolone, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD,Corticosteroids,The DDDs are based on treatment of both nostrils. The DDDs are mainly based on the starting dose in the treatment of rhinitis.,R01AD53,"dexamethasone, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD,Corticosteroids,The DDDs are based on treatment of both nostrils. The DDDs are mainly based on the starting dose in the treatment of rhinitis.,R01AD57,"tixocortol, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD,Corticosteroids,The DDDs are based on treatment of both nostrils. The DDDs are mainly based on the starting dose in the treatment of rhinitis.,R01AD58,"fluticasone, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD,Corticosteroids,The DDDs are based on treatment of both nostrils. The DDDs are mainly based on the starting dose in the treatment of rhinitis.,R01AD59,"mometasone, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AD,Corticosteroids,The DDDs are based on treatment of both nostrils. The DDDs are mainly based on the starting dose in the treatment of rhinitis.,R01AD60,"hydrocortisone, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AX,Other nasal preparations,The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of rhinitis.,R01AX01,calcium hexamine thiocyanate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AX,Other nasal preparations,The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of rhinitis.,R01AX02,retinol,NA,NA,NA,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,U,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AX,Other nasal preparations,The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of rhinitis.,R01AX03,ipratropium bromide,NA,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AX,Other nasal preparations,The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of rhinitis.,R01AX05,ritiometan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AX,Other nasal preparations,The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of rhinitis.,R01AX06,mupirocin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AX,Other nasal preparations,The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of rhinitis.,R01AX07,hexamidine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AX,Other nasal preparations,The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of rhinitis.,R01AX08,framycetin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AX,Other nasal preparations,The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of rhinitis.,R01AX09,hyaluronic acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AX,Other nasal preparations,The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of rhinitis.,R01AX10,various,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,R01AX,Other nasal preparations,The DDDs are based on treatment of both nostrils. The DDDs are based on the treatment of rhinitis.,R01AX30,combinations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,R01BA,Sympathomimetics,The DDDs are based on the treatment of rhinitis.,R01BA01,phenylpropanolamine,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,g,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,R01BA,Sympathomimetics,The DDDs are based on the treatment of rhinitis.,R01BA02,pseudoephedrine,NA,NA,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,g,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,R01BA,Sympathomimetics,The DDDs are based on the treatment of rhinitis.,R01BA03,phenylephrine,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,R01BA,Sympathomimetics,The DDDs are based on the treatment of rhinitis.,R01BA51,"phenylpropanolamine, combinations",Refers to phenylpropanolamine,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,g,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,R01BA,Sympathomimetics,The DDDs are based on the treatment of rhinitis.,R01BA52,"pseudoephedrine, combinations",Refers to pseudoephedrine,NA,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,g,NA,NA
R,RESPIRATORY SYSTEM,R01,NASAL PREPARATIONS,R01B,NASAL DECONGESTANTS FOR SYSTEMIC USE,R01BA,Sympathomimetics,The DDDs are based on the treatment of rhinitis.,R01BA53,"phenylephrine, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
