atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,atc_level_05_note,DDD_lamella,DDD_O,DDD_ointment,DDD_P,unit_lamella,unit_O,unit_ointment,unit_P
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA13,fusidic acid,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA14,benzylpenicillin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA15,dihydrostreptomycin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA16,rifamycin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA17,erythromycin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA18,polymyxin B,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA19,ampicillin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA20,antibiotics in combination with other drugs,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA21,amikacin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA22,micronomicin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA23,netilmicin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA24,kanamycin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA25,azidamfenicol,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA26,azithromycin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA27,cefuroxime,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA28,vancomycin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA29,dibekacin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA30,combinations of different antibiotics,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA31,cefmenoxime,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AA,Antibiotics,DDDs have been assigned for antiglaucoma preparations only.,S01AA32,bacitracin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AB,Sulfonamides,DDDs have been assigned for antiglaucoma preparations only.,S01AB01,sulfamethizole,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AB,Sulfonamides,DDDs have been assigned for antiglaucoma preparations only.,S01AB02,sulfafurazole,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AB,Sulfonamides,DDDs have been assigned for antiglaucoma preparations only.,S01AB03,sulfadicramide,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AB,Sulfonamides,DDDs have been assigned for antiglaucoma preparations only.,S01AB04,sulfacetamide,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AB,Sulfonamides,DDDs have been assigned for antiglaucoma preparations only.,S01AB05,sulfafenazol,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AD,Antivirals,DDDs have been assigned for antiglaucoma preparations only.,S01AD01,idoxuridine,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AD,Antivirals,DDDs have been assigned for antiglaucoma preparations only.,S01AD02,trifluridine,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AD,Antivirals,DDDs have been assigned for antiglaucoma preparations only.,S01AD03,aciclovir,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AD,Antivirals,DDDs have been assigned for antiglaucoma preparations only.,S01AD05,interferon,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AD,Antivirals,DDDs have been assigned for antiglaucoma preparations only.,S01AD06,vidarabine,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AD,Antivirals,DDDs have been assigned for antiglaucoma preparations only.,S01AD07,famciclovir,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AD,Antivirals,DDDs have been assigned for antiglaucoma preparations only.,S01AD08,fomivirsen,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AD,Antivirals,DDDs have been assigned for antiglaucoma preparations only.,S01AD09,ganciclovir,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AE,Fluoroquinolones,DDDs have been assigned for antiglaucoma preparations only.,S01AE01,ofloxacin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AE,Fluoroquinolones,DDDs have been assigned for antiglaucoma preparations only.,S01AE02,norfloxacin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AE,Fluoroquinolones,DDDs have been assigned for antiglaucoma preparations only.,S01AE03,ciprofloxacin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AE,Fluoroquinolones,DDDs have been assigned for antiglaucoma preparations only.,S01AE04,lomefloxacin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AE,Fluoroquinolones,DDDs have been assigned for antiglaucoma preparations only.,S01AE05,levofloxacin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AE,Fluoroquinolones,DDDs have been assigned for antiglaucoma preparations only.,S01AE06,gatifloxacin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AE,Fluoroquinolones,DDDs have been assigned for antiglaucoma preparations only.,S01AE07,moxifloxacin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AE,Fluoroquinolones,DDDs have been assigned for antiglaucoma preparations only.,S01AE08,besifloxacin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AE,Fluoroquinolones,DDDs have been assigned for antiglaucoma preparations only.,S01AE09,tosufloxacin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AX,Other antiinfectives,DDDs have been assigned for antiglaucoma preparations only.,S01AX01,mercury compounds,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AX,Other antiinfectives,DDDs have been assigned for antiglaucoma preparations only.,S01AX02,silver compounds,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AX,Other antiinfectives,DDDs have been assigned for antiglaucoma preparations only.,S01AX03,zinc compounds,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AX,Other antiinfectives,DDDs have been assigned for antiglaucoma preparations only.,S01AX04,nitrofural,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AX,Other antiinfectives,DDDs have been assigned for antiglaucoma preparations only.,S01AX05,bibrocathol,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AX,Other antiinfectives,DDDs have been assigned for antiglaucoma preparations only.,S01AX06,resorcinol,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AX,Other antiinfectives,DDDs have been assigned for antiglaucoma preparations only.,S01AX07,sodium borate,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AX,Other antiinfectives,DDDs have been assigned for antiglaucoma preparations only.,S01AX08,hexamidine,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AX,Other antiinfectives,DDDs have been assigned for antiglaucoma preparations only.,S01AX09,chlorhexidine,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AX,Other antiinfectives,DDDs have been assigned for antiglaucoma preparations only.,S01AX10,sodium propionate,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AX,Other antiinfectives,DDDs have been assigned for antiglaucoma preparations only.,S01AX14,dibrompropamidine,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AX,Other antiinfectives,DDDs have been assigned for antiglaucoma preparations only.,S01AX15,propamidine,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AX,Other antiinfectives,DDDs have been assigned for antiglaucoma preparations only.,S01AX16,picloxydine,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AX,Other antiinfectives,DDDs have been assigned for antiglaucoma preparations only.,S01AX18,povidone-iodine,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVES,S01AX,Other antiinfectives,DDDs have been assigned for antiglaucoma preparations only.,S01AX24,polihexanide,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BA,"Corticosteroids, plain",DDDs have been assigned for antiglaucoma preparations only.,S01BA01,dexamethasone,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BA,"Corticosteroids, plain",DDDs have been assigned for antiglaucoma preparations only.,S01BA02,hydrocortisone,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BA,"Corticosteroids, plain",DDDs have been assigned for antiglaucoma preparations only.,S01BA03,cortisone,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BA,"Corticosteroids, plain",DDDs have been assigned for antiglaucoma preparations only.,S01BA04,prednisolone,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BA,"Corticosteroids, plain",DDDs have been assigned for antiglaucoma preparations only.,S01BA05,triamcinolone,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BA,"Corticosteroids, plain",DDDs have been assigned for antiglaucoma preparations only.,S01BA06,betamethasone,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BA,"Corticosteroids, plain",DDDs have been assigned for antiglaucoma preparations only.,S01BA07,fluorometholone,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BA,"Corticosteroids, plain",DDDs have been assigned for antiglaucoma preparations only.,S01BA08,medrysone,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BA,"Corticosteroids, plain",DDDs have been assigned for antiglaucoma preparations only.,S01BA09,clobetasone,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BA,"Corticosteroids, plain",DDDs have been assigned for antiglaucoma preparations only.,S01BA10,alclometasone,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BA,"Corticosteroids, plain",DDDs have been assigned for antiglaucoma preparations only.,S01BA11,desonide,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BA,"Corticosteroids, plain",DDDs have been assigned for antiglaucoma preparations only.,S01BA12,formocortal,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BA,"Corticosteroids, plain",DDDs have been assigned for antiglaucoma preparations only.,S01BA13,rimexolone,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BA,"Corticosteroids, plain",DDDs have been assigned for antiglaucoma preparations only.,S01BA14,loteprednol,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BA,"Corticosteroids, plain",DDDs have been assigned for antiglaucoma preparations only.,S01BA15,fluocinolone acetonide,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BA,"Corticosteroids, plain",DDDs have been assigned for antiglaucoma preparations only.,S01BA16,difluprednate,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BB,Corticosteroids and mydriatics in combination,DDDs have been assigned for antiglaucoma preparations only.,S01BB01,hydrocortisone and mydriatics,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BB,Corticosteroids and mydriatics in combination,DDDs have been assigned for antiglaucoma preparations only.,S01BB02,prednisolone and mydriatics,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BB,Corticosteroids and mydriatics in combination,DDDs have been assigned for antiglaucoma preparations only.,S01BB03,fluorometholone and mydriatics,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BB,Corticosteroids and mydriatics in combination,DDDs have been assigned for antiglaucoma preparations only.,S01BB04,betamethasone and mydriatics,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BC,"Antiinflammatory agents, non-steroids",DDDs have been assigned for antiglaucoma preparations only.,S01BC01,indometacin,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BC,"Antiinflammatory agents, non-steroids",DDDs have been assigned for antiglaucoma preparations only.,S01BC02,oxyphenbutazone,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BC,"Antiinflammatory agents, non-steroids",DDDs have been assigned for antiglaucoma preparations only.,S01BC03,diclofenac,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BC,"Antiinflammatory agents, non-steroids",DDDs have been assigned for antiglaucoma preparations only.,S01BC04,flurbiprofen,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BC,"Antiinflammatory agents, non-steroids",DDDs have been assigned for antiglaucoma preparations only.,S01BC05,ketorolac,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BC,"Antiinflammatory agents, non-steroids",DDDs have been assigned for antiglaucoma preparations only.,S01BC06,piroxicam,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BC,"Antiinflammatory agents, non-steroids",DDDs have been assigned for antiglaucoma preparations only.,S01BC07,bendazac,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BC,"Antiinflammatory agents, non-steroids",DDDs have been assigned for antiglaucoma preparations only.,S01BC08,salicylic acid,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BC,"Antiinflammatory agents, non-steroids",DDDs have been assigned for antiglaucoma preparations only.,S01BC09,pranoprofen,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BC,"Antiinflammatory agents, non-steroids",DDDs have been assigned for antiglaucoma preparations only.,S01BC10,nepafenac,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01B,ANTIINFLAMMATORY AGENTS,S01BC,"Antiinflammatory agents, non-steroids",DDDs have been assigned for antiglaucoma preparations only.,S01BC11,bromfenac,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,S01CA,Corticosteroids and antiinfectives in combination,DDDs have been assigned for antiglaucoma preparations only.,S01CA01,dexamethasone and antiinfectives,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,S01CA,Corticosteroids and antiinfectives in combination,DDDs have been assigned for antiglaucoma preparations only.,S01CA02,prednisolone and antiinfectives,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,S01CA,Corticosteroids and antiinfectives in combination,DDDs have been assigned for antiglaucoma preparations only.,S01CA03,hydrocortisone and antiinfectives,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,S01CA,Corticosteroids and antiinfectives in combination,DDDs have been assigned for antiglaucoma preparations only.,S01CA04,fluocortolone and antiinfectives,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,S01CA,Corticosteroids and antiinfectives in combination,DDDs have been assigned for antiglaucoma preparations only.,S01CA05,betamethasone and antiinfectives,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,S01CA,Corticosteroids and antiinfectives in combination,DDDs have been assigned for antiglaucoma preparations only.,S01CA06,fludrocortisone and antiinfectives,NA,NA,NA,NA,NA,NA,NA,NA,NA
S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,S01CA,Corticosteroids and antiinfectives in combination,DDDs have been assigned for antiglaucoma preparations only.,S01CA07,fluorometholone and antiinfectives,NA,NA,NA,NA,NA,NA,NA,NA,NA
