atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,DDD_O,DDD_P,DDD_R,DDD_SL,DDD_TD,note,unit_O,unit_P,unit_R,unit_SL,unit_TD
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB06,domiphen,3,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB07,oxyquinoline,80,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB08,neomycin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB09,miconazole,0.2,NA,NA,NA,NA,NA,g,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB10,natamycin,20,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB11,various,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB12,hexetidine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB13,tetracycline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB14,benzoxonium chloride,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB15,tibezonium iodide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB16,mepartricin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB17,metronidazole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB18,clotrimazole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB19,sodium perborate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB21,chlortetracycline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB22,doxycycline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB23,minocycline,1,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB24,octenidine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB25,oxytetracycline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB53,chlorhexidine and cetylpyridinium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AC,Corticosteroids for local oral treatment,No DDDs have been established in this group.  The dosage forms are mainly ointments and pastes.,A01AC01,triamcinolone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AC,Corticosteroids for local oral treatment,No DDDs have been established in this group.  The dosage forms are mainly ointments and pastes.,A01AC02,dexamethasone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AC,Corticosteroids for local oral treatment,No DDDs have been established in this group.  The dosage forms are mainly ointments and pastes.,A01AC03,hydrocortisone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AC,Corticosteroids for local oral treatment,No DDDs have been established in this group.  The dosage forms are mainly ointments and pastes.,A01AC04,prednisolone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AC,Corticosteroids for local oral treatment,No DDDs have been established in this group.  The dosage forms are mainly ointments and pastes.,A01AC54,"prednisolone, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AD,Other agents for local oral treatment,NA,A01AD01,epinephrine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AD,Other agents for local oral treatment,NA,A01AD02,benzydamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AD,Other agents for local oral treatment,NA,A01AD05,acetylsalicylic acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AD,Other agents for local oral treatment,NA,A01AD06,adrenalone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AD,Other agents for local oral treatment,NA,A01AD07,amlexanox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AD,Other agents for local oral treatment,NA,A01AD08,becaplermin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AD,Other agents for local oral treatment,NA,A01AD11,various,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AA,Magnesium compounds,"The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AA01,magnesium carbonate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AA,Magnesium compounds,"The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AA02,magnesium oxide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AA,Magnesium compounds,"The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AA03,magnesium peroxide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AA,Magnesium compounds,"The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AA04,magnesium hydroxide,3,NA,NA,NA,NA,NA,g,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AA,Magnesium compounds,"The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AA05,magnesium silicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AA,Magnesium compounds,"The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AA10,combinations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AB,Aluminium compounds,"The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AB01,aluminium hydroxide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AB,Aluminium compounds,"The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AB02,algeldrate,5,NA,NA,NA,NA,NA,g,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AB,Aluminium compounds,"The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AB03,aluminium phosphate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AB,Aluminium compounds,"The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AB04,dihydroxialumini sodium carbonate,4,NA,NA,NA,NA,NA,g,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AB,Aluminium compounds,"The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AB05,aluminium acetoacetate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AB,Aluminium compounds,"The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AB06,aloglutamol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AB,Aluminium compounds,"The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AB07,aluminium glycinate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AB,Aluminium compounds,"The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AB10,combinations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AC,Calcium compounds,"The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AC01,calcium carbonate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AC,Calcium compounds,"The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AC02,calcium silicate,6,NA,NA,NA,NA,NA,g,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AC,Calcium compounds,"The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AC10,combinations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds","The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AD01,ordinary salt combinations,NA,NA,NA,NA,NA,Standard dose: 10 tablets or 50 ml mixt,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds","The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AD02,magaldrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds","The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AD03,almagate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AD,"Combinations and complexes of aluminium, calcium and magnesium compounds","The DDDs for antacids are based on treatment of hyperacidity and dyspepsia, not ulcus.  One exception, however, is antacids in combination with antispasmodics in A02AG, where the DDDs are based on treatment of ulcus.For ordinary salt combinations in A02AD, fixed doses are used instead of individual doses for every single preparation (10 tablets = 10 UD; 50 ml mixture = 10 UD).",A02AD04,hydrotalcite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
