atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,atc_level_05_note,DDD_implant,DDD_intravesical,DDD_N,DDD_O,DDD_P,unit_implant,unit_intravesical,unit_N,unit_O,unit_P
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AB,Alkyl sulfonates,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01AB02,treosulfan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AB,Alkyl sulfonates,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01AB03,mannosulfan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AC,Ethylene imines,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01AC01,thiotepa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AC,Ethylene imines,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01AC02,triaziquone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AC,Ethylene imines,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01AC03,carboquone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AD,Nitrosoureas,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01AD01,carmustine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AD,Nitrosoureas,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01AD02,lomustine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AD,Nitrosoureas,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01AD03,semustine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AD,Nitrosoureas,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01AD04,streptozocin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AD,Nitrosoureas,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01AD05,fotemustine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AD,Nitrosoureas,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01AD06,nimustine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AD,Nitrosoureas,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01AD07,ranimustine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AD,Nitrosoureas,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01AD08,uramustine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AG,Epoxides,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01AG01,etoglucid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AX,Other alkylating agents,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01AX01,mitobronitol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AX,Other alkylating agents,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01AX02,pipobroman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AX,Other alkylating agents,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01AX03,temozolomide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AX,Other alkylating agents,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01AX04,dacarbazine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BA,Folic acid analogues,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01BA01,methotrexate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BA,Folic acid analogues,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01BA03,raltitrexed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BA,Folic acid analogues,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01BA04,pemetrexed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BA,Folic acid analogues,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01BA05,pralatrexate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BB,Purine analogues,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01BB02,mercaptopurine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BB,Purine analogues,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01BB03,tioguanine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BB,Purine analogues,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01BB04,cladribine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BB,Purine analogues,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01BB05,fludarabine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BB,Purine analogues,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01BB06,clofarabine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BB,Purine analogues,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01BB07,nelarabine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BC,Pyrimidine analogues,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01BC01,cytarabine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BC,Pyrimidine analogues,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01BC02,fluorouracil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BC,Pyrimidine analogues,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01BC03,tegafur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BC,Pyrimidine analogues,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01BC04,carmofur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BC,Pyrimidine analogues,"DDDs have been established for the protein kinase inhibitors in L01E only.No DDDs have been established for substances classified in ATC 3rd level L01A, L01B, L01C, L01D, L01F or L01X.  This is because of highly individualised use and wide dosage ranges.  The doses used vary substantially because of various types and severity of neoplastic diseases, and also because of the extensive use of combination therapy.The consumption of antineoplastic agents is in some countries measured in grams.  This is recommended as a method to be used internationally for these particular agents.",L01BC05,gemcitabine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
