atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,atc_level_05_note,DDD_inhalepowder,DDD_inhalesolution,DDD_O,DDD_P,DDD_R,unit_inhalepowder,unit_inhalesolution,unit_O,unit_P,unit_R
J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01A,TETRACYCLINES,J01AA,Tetracyclines,"The DDDs for the antiinfectives are as a main rule based on the use in infections of moderate severity.  However, some antiinfectives are only used in severe infections and their DDDs are assigned accordingly.  The DDDs assigned are based on daily treatment.  The duration of the treatment periods is not taken into consideration.  For antiinfectives given in a high initially starting dose followed by a lower daily ""maintenance"" dose, the DDDs are based on the ""maintenance"" dose if the total duration of the treat-ment course is more than one week.  If, however, the treatment course is 7 days or less, the DDDs are assigned according to the average daily dose i.e. the total course dose divided by the number of treatment days (e.g azithromycin). The tetracyclines have different DDDs due to kinetic differences.  The use of tetracyclines in long-term, low dose treatment of acne is not taken into account in the assignment of DDDs.",J01AA11,clomocycline,NA,NA,NA,1,NA,NA,NA,NA,g,NA,NA
J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01A,TETRACYCLINES,J01AA,Tetracyclines,"The DDDs for the antiinfectives are as a main rule based on the use in infections of moderate severity.  However, some antiinfectives are only used in severe infections and their DDDs are assigned accordingly.  The DDDs assigned are based on daily treatment.  The duration of the treatment periods is not taken into consideration.  For antiinfectives given in a high initially starting dose followed by a lower daily ""maintenance"" dose, the DDDs are based on the ""maintenance"" dose if the total duration of the treat-ment course is more than one week.  If, however, the treatment course is 7 days or less, the DDDs are assigned according to the average daily dose i.e. the total course dose divided by the number of treatment days (e.g azithromycin). The tetracyclines have different DDDs due to kinetic differences.  The use of tetracyclines in long-term, low dose treatment of acne is not taken into account in the assignment of DDDs.",J01AA12,tigecycline,NA,NA,NA,NA,0.1,NA,NA,NA,NA,g,NA
J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01A,TETRACYCLINES,J01AA,Tetracyclines,"The DDDs for the antiinfectives are as a main rule based on the use in infections of moderate severity.  However, some antiinfectives are only used in severe infections and their DDDs are assigned accordingly.  The DDDs assigned are based on daily treatment.  The duration of the treatment periods is not taken into consideration.  For antiinfectives given in a high initially starting dose followed by a lower daily ""maintenance"" dose, the DDDs are based on the ""maintenance"" dose if the total duration of the treat-ment course is more than one week.  If, however, the treatment course is 7 days or less, the DDDs are assigned according to the average daily dose i.e. the total course dose divided by the number of treatment days (e.g azithromycin). The tetracyclines have different DDDs due to kinetic differences.  The use of tetracyclines in long-term, low dose treatment of acne is not taken into account in the assignment of DDDs.",J01AA13,eravacycline,NA,NA,NA,NA,0.14,NA,NA,NA,NA,g,NA
J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01A,TETRACYCLINES,J01AA,Tetracyclines,"The DDDs for the antiinfectives are as a main rule based on the use in infections of moderate severity.  However, some antiinfectives are only used in severe infections and their DDDs are assigned accordingly.  The DDDs assigned are based on daily treatment.  The duration of the treatment periods is not taken into consideration.  For antiinfectives given in a high initially starting dose followed by a lower daily ""maintenance"" dose, the DDDs are based on the ""maintenance"" dose if the total duration of the treat-ment course is more than one week.  If, however, the treatment course is 7 days or less, the DDDs are assigned according to the average daily dose i.e. the total course dose divided by the number of treatment days (e.g azithromycin). The tetracyclines have different DDDs due to kinetic differences.  The use of tetracyclines in long-term, low dose treatment of acne is not taken into account in the assignment of DDDs.",J01AA14,sarecycline,NA,NA,NA,0.1,NA,NA,NA,NA,g,NA,NA
J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01A,TETRACYCLINES,J01AA,Tetracyclines,"The DDDs for the antiinfectives are as a main rule based on the use in infections of moderate severity.  However, some antiinfectives are only used in severe infections and their DDDs are assigned accordingly.  The DDDs assigned are based on daily treatment.  The duration of the treatment periods is not taken into consideration.  For antiinfectives given in a high initially starting dose followed by a lower daily ""maintenance"" dose, the DDDs are based on the ""maintenance"" dose if the total duration of the treat-ment course is more than one week.  If, however, the treatment course is 7 days or less, the DDDs are assigned according to the average daily dose i.e. the total course dose divided by the number of treatment days (e.g azithromycin). The tetracyclines have different DDDs due to kinetic differences.  The use of tetracyclines in long-term, low dose treatment of acne is not taken into account in the assignment of DDDs.",J01AA15,omadacycline,NA,NA,NA,0.3,0.1,NA,NA,NA,g,g,NA
J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01A,TETRACYCLINES,J01AA,Tetracyclines,"The DDDs for the antiinfectives are as a main rule based on the use in infections of moderate severity.  However, some antiinfectives are only used in severe infections and their DDDs are assigned accordingly.  The DDDs assigned are based on daily treatment.  The duration of the treatment periods is not taken into consideration.  For antiinfectives given in a high initially starting dose followed by a lower daily ""maintenance"" dose, the DDDs are based on the ""maintenance"" dose if the total duration of the treat-ment course is more than one week.  If, however, the treatment course is 7 days or less, the DDDs are assigned according to the average daily dose i.e. the total course dose divided by the number of treatment days (e.g azithromycin). The tetracyclines have different DDDs due to kinetic differences.  The use of tetracyclines in long-term, low dose treatment of acne is not taken into account in the assignment of DDDs.",J01AA20,combinations of tetracyclines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01A,TETRACYCLINES,J01AA,Tetracyclines,"The DDDs for the antiinfectives are as a main rule based on the use in infections of moderate severity.  However, some antiinfectives are only used in severe infections and their DDDs are assigned accordingly.  The DDDs assigned are based on daily treatment.  The duration of the treatment periods is not taken into consideration.  For antiinfectives given in a high initially starting dose followed by a lower daily ""maintenance"" dose, the DDDs are based on the ""maintenance"" dose if the total duration of the treat-ment course is more than one week.  If, however, the treatment course is 7 days or less, the DDDs are assigned according to the average daily dose i.e. the total course dose divided by the number of treatment days (e.g azithromycin). The tetracyclines have different DDDs due to kinetic differences.  The use of tetracyclines in long-term, low dose treatment of acne is not taken into account in the assignment of DDDs.",J01AA56,"oxytetracycline, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01B,AMPHENICOLS,J01BA,Amphenicols,"The DDDs for the antiinfectives are as a main rule based on the use in infections of moderate severity.  However, some antiinfectives are only used in severe infections and their DDDs are assigned accordingly.  The DDDs assigned are based on daily treatment.  The duration of the treatment periods is not taken into consideration.  For antiinfectives given in a high initially starting dose followed by a lower daily ""maintenance"" dose, the DDDs are based on the ""maintenance"" dose if the total duration of the treat-ment course is more than one week.  If, however, the treatment course is 7 days or less, the DDDs are assigned according to the average daily dose i.e. the total course dose divided by the number of treatment days (e.g azithromycin).",J01BA01,chloramphenicol,NA,NA,NA,3,3,NA,NA,NA,g,g,NA
J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01B,AMPHENICOLS,J01BA,Amphenicols,"The DDDs for the antiinfectives are as a main rule based on the use in infections of moderate severity.  However, some antiinfectives are only used in severe infections and their DDDs are assigned accordingly.  The DDDs assigned are based on daily treatment.  The duration of the treatment periods is not taken into consideration.  For antiinfectives given in a high initially starting dose followed by a lower daily ""maintenance"" dose, the DDDs are based on the ""maintenance"" dose if the total duration of the treat-ment course is more than one week.  If, however, the treatment course is 7 days or less, the DDDs are assigned according to the average daily dose i.e. the total course dose divided by the number of treatment days (e.g azithromycin).",J01BA02,thiamphenicol,NA,NA,NA,1.5,1.5,NA,NA,NA,g,g,NA
J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01B,AMPHENICOLS,J01BA,Amphenicols,"The DDDs for the antiinfectives are as a main rule based on the use in infections of moderate severity.  However, some antiinfectives are only used in severe infections and their DDDs are assigned accordingly.  The DDDs assigned are based on daily treatment.  The duration of the treatment periods is not taken into consideration.  For antiinfectives given in a high initially starting dose followed by a lower daily ""maintenance"" dose, the DDDs are based on the ""maintenance"" dose if the total duration of the treat-ment course is more than one week.  If, however, the treatment course is 7 days or less, the DDDs are assigned according to the average daily dose i.e. the total course dose divided by the number of treatment days (e.g azithromycin).",J01BA52,"thiamphenicol, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA,Penicillins with extended spectrum,"The DDDs for the antiinfectives are as a main rule based on the use in infections of moderate severity.  However, some antiinfectives are only used in severe infections and their DDDs are assigned accordingly.  The DDDs assigned are based on daily treatment.  The duration of the treatment periods is not taken into consideration.  For antiinfectives given in a high initially starting dose followed by a lower daily ""maintenance"" dose, the DDDs are based on the ""maintenance"" dose if the total duration of the treat-ment course is more than one week.  If, however, the treatment course is 7 days or less, the DDDs are assigned according to the average daily dose i.e. the total course dose divided by the number of treatment days (e.g azithromycin). The esters, for instance pivampicillin and pivmecillinam, have a higher bioavailability and thus a lower DDD than the corresponding non-ester compounds.The DDDs for some of the compounds, for instance carbenicillin, piperacillin, ticarcillin and sulbenicillin, are based on the dosages used for narrow indications, i.e. life threatening infections.",J01CA01,ampicillin,NA,NA,NA,2,6,2,NA,NA,g,g,g
J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA,Penicillins with extended spectrum,"The DDDs for the antiinfectives are as a main rule based on the use in infections of moderate severity.  However, some antiinfectives are only used in severe infections and their DDDs are assigned accordingly.  The DDDs assigned are based on daily treatment.  The duration of the treatment periods is not taken into consideration.  For antiinfectives given in a high initially starting dose followed by a lower daily ""maintenance"" dose, the DDDs are based on the ""maintenance"" dose if the total duration of the treat-ment course is more than one week.  If, however, the treatment course is 7 days or less, the DDDs are assigned according to the average daily dose i.e. the total course dose divided by the number of treatment days (e.g azithromycin). The esters, for instance pivampicillin and pivmecillinam, have a higher bioavailability and thus a lower DDD than the corresponding non-ester compounds.The DDDs for some of the compounds, for instance carbenicillin, piperacillin, ticarcillin and sulbenicillin, are based on the dosages used for narrow indications, i.e. life threatening infections.",J01CA02,pivampicillin,NA,NA,NA,1.05,NA,NA,NA,NA,g,NA,NA
J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA,Penicillins with extended spectrum,"The DDDs for the antiinfectives are as a main rule based on the use in infections of moderate severity.  However, some antiinfectives are only used in severe infections and their DDDs are assigned accordingly.  The DDDs assigned are based on daily treatment.  The duration of the treatment periods is not taken into consideration.  For antiinfectives given in a high initially starting dose followed by a lower daily ""maintenance"" dose, the DDDs are based on the ""maintenance"" dose if the total duration of the treat-ment course is more than one week.  If, however, the treatment course is 7 days or less, the DDDs are assigned according to the average daily dose i.e. the total course dose divided by the number of treatment days (e.g azithromycin). The esters, for instance pivampicillin and pivmecillinam, have a higher bioavailability and thus a lower DDD than the corresponding non-ester compounds.The DDDs for some of the compounds, for instance carbenicillin, piperacillin, ticarcillin and sulbenicillin, are based on the dosages used for narrow indications, i.e. life threatening infections.",J01CA03,carbenicillin,NA,NA,NA,NA,12,NA,NA,NA,NA,g,NA
J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA,Penicillins with extended spectrum,"The DDDs for the antiinfectives are as a main rule based on the use in infections of moderate severity.  However, some antiinfectives are only used in severe infections and their DDDs are assigned accordingly.  The DDDs assigned are based on daily treatment.  The duration of the treatment periods is not taken into consideration.  For antiinfectives given in a high initially starting dose followed by a lower daily ""maintenance"" dose, the DDDs are based on the ""maintenance"" dose if the total duration of the treat-ment course is more than one week.  If, however, the treatment course is 7 days or less, the DDDs are assigned according to the average daily dose i.e. the total course dose divided by the number of treatment days (e.g azithromycin). The esters, for instance pivampicillin and pivmecillinam, have a higher bioavailability and thus a lower DDD than the corresponding non-ester compounds.The DDDs for some of the compounds, for instance carbenicillin, piperacillin, ticarcillin and sulbenicillin, are based on the dosages used for narrow indications, i.e. life threatening infections.",J01CA04,amoxicillin,NA,NA,NA,1.5,3,NA,NA,NA,g,g,NA
J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA,Penicillins with extended spectrum,"The DDDs for the antiinfectives are as a main rule based on the use in infections of moderate severity.  However, some antiinfectives are only used in severe infections and their DDDs are assigned accordingly.  The DDDs assigned are based on daily treatment.  The duration of the treatment periods is not taken into consideration.  For antiinfectives given in a high initially starting dose followed by a lower daily ""maintenance"" dose, the DDDs are based on the ""maintenance"" dose if the total duration of the treat-ment course is more than one week.  If, however, the treatment course is 7 days or less, the DDDs are assigned according to the average daily dose i.e. the total course dose divided by the number of treatment days (e.g azithromycin). The esters, for instance pivampicillin and pivmecillinam, have a higher bioavailability and thus a lower DDD than the corresponding non-ester compounds.The DDDs for some of the compounds, for instance carbenicillin, piperacillin, ticarcillin and sulbenicillin, are based on the dosages used for narrow indications, i.e. life threatening infections.",J01CA05,carindacillin,NA,NA,NA,4,NA,NA,NA,NA,g,NA,NA
J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA,Penicillins with extended spectrum,"The DDDs for the antiinfectives are as a main rule based on the use in infections of moderate severity.  However, some antiinfectives are only used in severe infections and their DDDs are assigned accordingly.  The DDDs assigned are based on daily treatment.  The duration of the treatment periods is not taken into consideration.  For antiinfectives given in a high initially starting dose followed by a lower daily ""maintenance"" dose, the DDDs are based on the ""maintenance"" dose if the total duration of the treat-ment course is more than one week.  If, however, the treatment course is 7 days or less, the DDDs are assigned according to the average daily dose i.e. the total course dose divided by the number of treatment days (e.g azithromycin). The esters, for instance pivampicillin and pivmecillinam, have a higher bioavailability and thus a lower DDD than the corresponding non-ester compounds.The DDDs for some of the compounds, for instance carbenicillin, piperacillin, ticarcillin and sulbenicillin, are based on the dosages used for narrow indications, i.e. life threatening infections.",J01CA06,bacampicillin,NA,NA,NA,1.2,NA,NA,NA,NA,g,NA,NA
J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA,Penicillins with extended spectrum,"The DDDs for the antiinfectives are as a main rule based on the use in infections of moderate severity.  However, some antiinfectives are only used in severe infections and their DDDs are assigned accordingly.  The DDDs assigned are based on daily treatment.  The duration of the treatment periods is not taken into consideration.  For antiinfectives given in a high initially starting dose followed by a lower daily ""maintenance"" dose, the DDDs are based on the ""maintenance"" dose if the total duration of the treat-ment course is more than one week.  If, however, the treatment course is 7 days or less, the DDDs are assigned according to the average daily dose i.e. the total course dose divided by the number of treatment days (e.g azithromycin). The esters, for instance pivampicillin and pivmecillinam, have a higher bioavailability and thus a lower DDD than the corresponding non-ester compounds.The DDDs for some of the compounds, for instance carbenicillin, piperacillin, ticarcillin and sulbenicillin, are based on the dosages used for narrow indications, i.e. life threatening infections.",J01CA07,epicillin,NA,NA,NA,2,2,NA,NA,NA,g,g,NA
J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA,Penicillins with extended spectrum,"The DDDs for the antiinfectives are as a main rule based on the use in infections of moderate severity.  However, some antiinfectives are only used in severe infections and their DDDs are assigned accordingly.  The DDDs assigned are based on daily treatment.  The duration of the treatment periods is not taken into consideration.  For antiinfectives given in a high initially starting dose followed by a lower daily ""maintenance"" dose, the DDDs are based on the ""maintenance"" dose if the total duration of the treat-ment course is more than one week.  If, however, the treatment course is 7 days or less, the DDDs are assigned according to the average daily dose i.e. the total course dose divided by the number of treatment days (e.g azithromycin). The esters, for instance pivampicillin and pivmecillinam, have a higher bioavailability and thus a lower DDD than the corresponding non-ester compounds.The DDDs for some of the compounds, for instance carbenicillin, piperacillin, ticarcillin and sulbenicillin, are based on the dosages used for narrow indications, i.e. life threatening infections.",J01CA08,pivmecillinam,NA,NA,NA,0.6,NA,NA,NA,NA,g,NA,NA
J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CA,Penicillins with extended spectrum,"The DDDs for the antiinfectives are as a main rule based on the use in infections of moderate severity.  However, some antiinfectives are only used in severe infections and their DDDs are assigned accordingly.  The DDDs assigned are based on daily treatment.  The duration of the treatment periods is not taken into consideration.  For antiinfectives given in a high initially starting dose followed by a lower daily ""maintenance"" dose, the DDDs are based on the ""maintenance"" dose if the total duration of the treat-ment course is more than one week.  If, however, the treatment course is 7 days or less, the DDDs are assigned according to the average daily dose i.e. the total course dose divided by the number of treatment days (e.g azithromycin). The esters, for instance pivampicillin and pivmecillinam, have a higher bioavailability and thus a lower DDD than the corresponding non-ester compounds.The DDDs for some of the compounds, for instance carbenicillin, piperacillin, ticarcillin and sulbenicillin, are based on the dosages used for narrow indications, i.e. life threatening infections.",J01CA09,azlocillin,NA,NA,NA,NA,12,NA,NA,NA,NA,g,NA
