atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,atc_level_05_note,DDD_chewing_gum,DDD_implant,DDD_inhale,DDD_inhaleaerosol,DDD_inhalepowder,DDD_N,DDD_O,DDD_P,DDD_R,DDD_SL,DDD_TD,unit_chewing_gum,unit_implant,unit_inhale,unit_inhaleaerosol,unit_inhalepowder,unit_N,unit_O,unit_P,unit_R,unit_SL,unit_TD
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AF,"Barbiturates, plain",No DDDs have been established in this group because the doses used vary substantially.,N01AF02,hexobarbital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AF,"Barbiturates, plain",No DDDs have been established in this group because the doses used vary substantially.,N01AF03,thiopental,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AG,Barbiturates in combination with other drugs,No DDDs have been established in this group because the doses used vary substantially.,N01AG01,narcobarbital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AH,Opioid anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01AH01,fentanyl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AH,Opioid anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01AH02,alfentanil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AH,Opioid anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01AH03,sufentanil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AH,Opioid anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01AH04,phenoperidine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AH,Opioid anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01AH05,anileridine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AH,Opioid anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01AH06,remifentanil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AH,Opioid anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01AH51,"fentanyl, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AX,Other general anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01AX03,ketamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AX,Other general anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01AX04,propanidid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AX,Other general anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01AX05,alfaxalone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AX,Other general anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01AX07,etomidate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AX,Other general anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01AX10,propofol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AX,Other general anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01AX11,sodium oxybate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AX,Other general anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01AX13,nitrous oxide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AX,Other general anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01AX14,esketamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AX,Other general anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01AX15,xenon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AX,Other general anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01AX63,"nitrous oxide, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BA,Esters of aminobenzoic acid,No DDDs have been established in this group because the doses used vary substantially.,N01BA01,metabutethamine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BA,Esters of aminobenzoic acid,No DDDs have been established in this group because the doses used vary substantially.,N01BA02,procaine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BA,Esters of aminobenzoic acid,No DDDs have been established in this group because the doses used vary substantially.,N01BA03,tetracaine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BA,Esters of aminobenzoic acid,No DDDs have been established in this group because the doses used vary substantially.,N01BA04,chloroprocaine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BA,Esters of aminobenzoic acid,No DDDs have been established in this group because the doses used vary substantially.,N01BA05,benzocaine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BA,Esters of aminobenzoic acid,No DDDs have been established in this group because the doses used vary substantially.,N01BA52,"procaine, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BA,Esters of aminobenzoic acid,No DDDs have been established in this group because the doses used vary substantially.,N01BA53,"tetracaine, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,No DDDs have been established in this group because the doses used vary substantially.,N01BB01,bupivacaine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,No DDDs have been established in this group because the doses used vary substantially.,N01BB02,lidocaine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,No DDDs have been established in this group because the doses used vary substantially.,N01BB03,mepivacaine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,No DDDs have been established in this group because the doses used vary substantially.,N01BB04,prilocaine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,No DDDs have been established in this group because the doses used vary substantially.,N01BB05,butanilicaine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,No DDDs have been established in this group because the doses used vary substantially.,N01BB06,cinchocaine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,No DDDs have been established in this group because the doses used vary substantially.,N01BB07,etidocaine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,No DDDs have been established in this group because the doses used vary substantially.,N01BB08,articaine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,No DDDs have been established in this group because the doses used vary substantially.,N01BB09,ropivacaine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,No DDDs have been established in this group because the doses used vary substantially.,N01BB10,levobupivacaine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,No DDDs have been established in this group because the doses used vary substantially.,N01BB20,combinations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,No DDDs have been established in this group because the doses used vary substantially.,N01BB51,"bupivacaine, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,No DDDs have been established in this group because the doses used vary substantially.,N01BB52,"lidocaine, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,No DDDs have been established in this group because the doses used vary substantially.,N01BB53,"mepivacaine, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,No DDDs have been established in this group because the doses used vary substantially.,N01BB54,"prilocaine, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,No DDDs have been established in this group because the doses used vary substantially.,N01BB57,"etidocaine, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,No DDDs have been established in this group because the doses used vary substantially.,N01BB58,"articaine, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BB,Amides,No DDDs have been established in this group because the doses used vary substantially.,N01BB59,bupivacaine and meloxicam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BC,Esters of benzoic acid,No DDDs have been established in this group because the doses used vary substantially.,N01BC01,cocaine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BX,Other local anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01BX01,ethyl chloride,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BX,Other local anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01BX02,dyclonine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BX,Other local anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01BX03,phenol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BX,Other local anesthetics,No DDDs have been established in this group because the doses used vary substantially.,N01BX04,capsaicin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N02,ANALGESICS,N02A,OPIOIDS,N02AA,Natural opium alkaloids,"The DDDs in this group are based on the treatment of pain.The DDD for oral morphine is higher than the parenteral DDD because of lower bioavailability. The DDDs are based on approved dose recommendations.When establishing DDDs for combination products in the 50-series, all analgesic components are taken into consideration.The DDD, expressed in UD, should normally not exceed the approved dose recommendations for any of the components.See list of DDDs for combination products, www.whocc.no.",N02AA01,morphine,NA,NA,NA,NA,NA,NA,NA,0.1,30,30,NA,NA,NA,NA,NA,NA,NA,NA,g,mg,mg,NA,NA
N,NERVOUS SYSTEM,N02,ANALGESICS,N02A,OPIOIDS,N02AA,Natural opium alkaloids,"The DDDs in this group are based on the treatment of pain.The DDD for oral morphine is higher than the parenteral DDD because of lower bioavailability. The DDDs are based on approved dose recommendations.When establishing DDDs for combination products in the 50-series, all analgesic components are taken into consideration.The DDD, expressed in UD, should normally not exceed the approved dose recommendations for any of the components.See list of DDDs for combination products, www.whocc.no.",N02AA02,opium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N02,ANALGESICS,N02A,OPIOIDS,N02AA,Natural opium alkaloids,"The DDDs in this group are based on the treatment of pain.The DDD for oral morphine is higher than the parenteral DDD because of lower bioavailability. The DDDs are based on approved dose recommendations.When establishing DDDs for combination products in the 50-series, all analgesic components are taken into consideration.The DDD, expressed in UD, should normally not exceed the approved dose recommendations for any of the components.See list of DDDs for combination products, www.whocc.no.",N02AA03,hydromorphone,NA,NA,NA,NA,NA,NA,NA,20,4,4,NA,NA,NA,NA,NA,NA,NA,NA,mg,mg,mg,NA,NA
N,NERVOUS SYSTEM,N02,ANALGESICS,N02A,OPIOIDS,N02AA,Natural opium alkaloids,"The DDDs in this group are based on the treatment of pain.The DDD for oral morphine is higher than the parenteral DDD because of lower bioavailability. The DDDs are based on approved dose recommendations.When establishing DDDs for combination products in the 50-series, all analgesic components are taken into consideration.The DDD, expressed in UD, should normally not exceed the approved dose recommendations for any of the components.See list of DDDs for combination products, www.whocc.no.",N02AA04,nicomorphine,NA,NA,NA,NA,NA,NA,NA,30,30,30,NA,NA,NA,NA,NA,NA,NA,NA,mg,mg,mg,NA,NA
N,NERVOUS SYSTEM,N02,ANALGESICS,N02A,OPIOIDS,N02AA,Natural opium alkaloids,"The DDDs in this group are based on the treatment of pain.The DDD for oral morphine is higher than the parenteral DDD because of lower bioavailability. The DDDs are based on approved dose recommendations.When establishing DDDs for combination products in the 50-series, all analgesic components are taken into consideration.The DDD, expressed in UD, should normally not exceed the approved dose recommendations for any of the components.See list of DDDs for combination products, www.whocc.no.",N02AA05,oxycodone,NA,NA,NA,NA,NA,NA,NA,75,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,mg,NA,NA,NA
N,NERVOUS SYSTEM,N02,ANALGESICS,N02A,OPIOIDS,N02AA,Natural opium alkaloids,"The DDDs in this group are based on the treatment of pain.The DDD for oral morphine is higher than the parenteral DDD because of lower bioavailability. The DDDs are based on approved dose recommendations.When establishing DDDs for combination products in the 50-series, all analgesic components are taken into consideration.The DDD, expressed in UD, should normally not exceed the approved dose recommendations for any of the components.See list of DDDs for combination products, www.whocc.no.",N02AA08,dihydrocodeine,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,g,NA,NA,NA,NA
N,NERVOUS SYSTEM,N02,ANALGESICS,N02A,OPIOIDS,N02AA,Natural opium alkaloids,"The DDDs in this group are based on the treatment of pain.The DDD for oral morphine is higher than the parenteral DDD because of lower bioavailability. The DDDs are based on approved dose recommendations.When establishing DDDs for combination products in the 50-series, all analgesic components are taken into consideration.The DDD, expressed in UD, should normally not exceed the approved dose recommendations for any of the components.See list of DDDs for combination products, www.whocc.no.",N02AA10,papaveretum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N02,ANALGESICS,N02A,OPIOIDS,N02AA,Natural opium alkaloids,"The DDDs in this group are based on the treatment of pain.The DDD for oral morphine is higher than the parenteral DDD because of lower bioavailability. The DDDs are based on approved dose recommendations.When establishing DDDs for combination products in the 50-series, all analgesic components are taken into consideration.The DDD, expressed in UD, should normally not exceed the approved dose recommendations for any of the components.See list of DDDs for combination products, www.whocc.no.",N02AA11,oxymorphone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N02,ANALGESICS,N02A,OPIOIDS,N02AA,Natural opium alkaloids,"The DDDs in this group are based on the treatment of pain.The DDD for oral morphine is higher than the parenteral DDD because of lower bioavailability. The DDDs are based on approved dose recommendations.When establishing DDDs for combination products in the 50-series, all analgesic components are taken into consideration.The DDD, expressed in UD, should normally not exceed the approved dose recommendations for any of the components.See list of DDDs for combination products, www.whocc.no.",N02AA51,"morphine, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N02,ANALGESICS,N02A,OPIOIDS,N02AA,Natural opium alkaloids,"The DDDs in this group are based on the treatment of pain.The DDD for oral morphine is higher than the parenteral DDD because of lower bioavailability. The DDDs are based on approved dose recommendations.When establishing DDDs for combination products in the 50-series, all analgesic components are taken into consideration.The DDD, expressed in UD, should normally not exceed the approved dose recommendations for any of the components.See list of DDDs for combination products, www.whocc.no.",N02AA53,hydromorphone and naloxone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N,NERVOUS SYSTEM,N02,ANALGESICS,N02A,OPIOIDS,N02AA,Natural opium alkaloids,"The DDDs in this group are based on the treatment of pain.The DDD for oral morphine is higher than the parenteral DDD because of lower bioavailability. The DDDs are based on approved dose recommendations.When establishing DDDs for combination products in the 50-series, all analgesic components are taken into consideration.The DDD, expressed in UD, should normally not exceed the approved dose recommendations for any of the components.See list of DDDs for combination products, www.whocc.no.",N02AA55,oxycodone and naloxone,Refers to oxycodone,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA
