atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,atc_level_05_note,DDD_N,DDD_O,DDD_P,DDD_SL,unit_N,unit_O,unit_P,unit_SL
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AA,Mineralocorticoids,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDDs are based on substitution therapy in Addisons disease.,H02AA03,desoxycortone,NA,NA,5,5,NA,NA,mg,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. Depot preparations may have different DDDs, compared to other formulations, due to different indications.",H02AB01,betamethasone,depot,NA,NA,0.4,NA,NA,NA,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. Depot preparations may have different DDDs, compared to other formulations, due to different indications.",H02AB01,betamethasone,NA,NA,1.5,1.5,NA,NA,mg,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. Depot preparations may have different DDDs, compared to other formulations, due to different indications.",H02AB02,dexamethasone,NA,NA,1.5,1.5,NA,NA,mg,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. Depot preparations may have different DDDs, compared to other formulations, due to different indications.",H02AB03,fluocortolone,NA,NA,10,NA,NA,NA,mg,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. Depot preparations may have different DDDs, compared to other formulations, due to different indications.",H02AB04,methylprednisolone,NA,NA,7.5,20,NA,NA,mg,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. Depot preparations may have different DDDs, compared to other formulations, due to different indications.",H02AB05,paramethasone,NA,NA,4,4,NA,NA,mg,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. Depot preparations may have different DDDs, compared to other formulations, due to different indications.",H02AB06,prednisolone,NA,NA,10,10,NA,NA,mg,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. Depot preparations may have different DDDs, compared to other formulations, due to different indications.",H02AB07,prednisone,NA,NA,10,NA,NA,NA,mg,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. Depot preparations may have different DDDs, compared to other formulations, due to different indications.",H02AB08,triamcinolone,NA,NA,7.5,7.5,NA,NA,mg,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. Depot preparations may have different DDDs, compared to other formulations, due to different indications.",H02AB09,hydrocortisone,NA,NA,30,30,NA,NA,mg,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. Depot preparations may have different DDDs, compared to other formulations, due to different indications.",H02AB10,cortisone,NA,NA,37.5,37.5,NA,NA,mg,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. Depot preparations may have different DDDs, compared to other formulations, due to different indications.",H02AB11,prednylidene,NA,NA,12,NA,NA,NA,mg,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. Depot preparations may have different DDDs, compared to other formulations, due to different indications.",H02AB12,rimexolone,intraarticular,NA,NA,20,NA,NA,NA,mg,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. Depot preparations may have different DDDs, compared to other formulations, due to different indications.",H02AB13,deflazacort,NA,NA,15,NA,NA,NA,mg,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. Depot preparations may have different DDDs, compared to other formulations, due to different indications.",H02AB14,cloprednol,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. Depot preparations may have different DDDs, compared to other formulations, due to different indications.",H02AB15,meprednisone,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. Depot preparations may have different DDDs, compared to other formulations, due to different indications.",H02AB17,cortivazol,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,"The DDDs are generally based on the treatment or diagnosis of endocrine disorders. Depot preparations may have different DDDs, compared to other formulations, due to different indications.",H02AB18,vamorolone,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02B,"CORTICOSTEROIDS FOR SYSTEMIC USE, COMBINATIONS",H02BX,"Corticosteroids for systemic use, combinations",The DDDs are generally based on the treatment or diagnosis of endocrine disorders. No DDDs have been assigned.,H02BX01,"methylprednisolone, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02C,ANTIADRENAL PREPARATIONS,H02CA,Anticorticosteroids,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDD of trilostan is based on the treatment of Cushings syndrome.,H02CA01,trilostane,NA,NA,0.36,NA,NA,NA,g,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02C,ANTIADRENAL PREPARATIONS,H02CA,Anticorticosteroids,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDD of trilostan is based on the treatment of Cushings syndrome.,H02CA02,osilodrostat,NA,NA,10,NA,NA,NA,mg,NA,NA
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02C,ANTIADRENAL PREPARATIONS,H02CA,Anticorticosteroids,The DDDs are generally based on the treatment or diagnosis of endocrine disorders. The DDD of trilostan is based on the treatment of Cushings syndrome.,H02CA03,ketoconazole,NA,NA,0.6,NA,NA,NA,g,NA,NA
