atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,atc_level_05_note,DDD_inhalesolution,DDD_N,DDD_O,DDD_P,unit_inhalesolution,unit_N,unit_O,unit_P
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AB,Heparin group,"The DDDs of nonfractionated heparin and antithrombin are based on prophylaxis of thrombosis and pulmonary emboli, and given in international units (U).  The DDDs for the different low molecular weight heparins are assigned according to their recommended dose in prophylaxis of deep vein thrombosis in moderate risk patients.  Since the anti Xa activity is a major determinant of the anticoagulant activity of low molecular weight heparins the DDDs are given in international units based on anti Xa activity.The DDD for sulodexide is expressed in lipoprotein lipase releasing units (LSU).",B01AB10,tinzaparin,anti Xa,NA,NA,NA,3.5,NA,NA,NA,TU
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AB,Heparin group,"The DDDs of nonfractionated heparin and antithrombin are based on prophylaxis of thrombosis and pulmonary emboli, and given in international units (U).  The DDDs for the different low molecular weight heparins are assigned according to their recommended dose in prophylaxis of deep vein thrombosis in moderate risk patients.  Since the anti Xa activity is a major determinant of the anticoagulant activity of low molecular weight heparins the DDDs are given in international units based on anti Xa activity.The DDD for sulodexide is expressed in lipoprotein lipase releasing units (LSU).",B01AB11,sulodexide,LSU = lipoprotein lipase releasing units,NA,NA,500,500,NA,NA,LSU,LSU
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AB,Heparin group,"The DDDs of nonfractionated heparin and antithrombin are based on prophylaxis of thrombosis and pulmonary emboli, and given in international units (U).  The DDDs for the different low molecular weight heparins are assigned according to their recommended dose in prophylaxis of deep vein thrombosis in moderate risk patients.  Since the anti Xa activity is a major determinant of the anticoagulant activity of low molecular weight heparins the DDDs are given in international units based on anti Xa activity.The DDD for sulodexide is expressed in lipoprotein lipase releasing units (LSU).",B01AB12,bemiparin,NA,NA,NA,NA,2.5,NA,NA,NA,TU
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AB,Heparin group,"The DDDs of nonfractionated heparin and antithrombin are based on prophylaxis of thrombosis and pulmonary emboli, and given in international units (U).  The DDDs for the different low molecular weight heparins are assigned according to their recommended dose in prophylaxis of deep vein thrombosis in moderate risk patients.  Since the anti Xa activity is a major determinant of the anticoagulant activity of low molecular weight heparins the DDDs are given in international units based on anti Xa activity.The DDD for sulodexide is expressed in lipoprotein lipase releasing units (LSU).",B01AB51,"heparin, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC01,ditazole,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC02,cloricromen,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC03,picotamide,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC04,clopidogrel,NA,NA,NA,75,NA,NA,NA,mg,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC05,ticlopidine,NA,NA,NA,0.5,NA,NA,NA,g,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC06,acetylsalicylic acid,Independent of strength,NA,NA,1,NA,NA,NA,tablet,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC07,dipyridamole,NA,NA,NA,0.4,0.2,NA,NA,g,g
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC08,carbasalate calcium,NA,NA,NA,1,NA,NA,NA,tablet,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC09,epoprostenol,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC10,indobufen,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC11,iloprost,NA,0.15,NA,NA,50,mg,NA,NA,mcg
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC13,abciximab,NA,NA,NA,NA,25,NA,NA,NA,mg
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC15,aloxiprin,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC16,eptifibatide,NA,NA,NA,NA,0.2,NA,NA,NA,g
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC17,tirofiban,NA,NA,NA,NA,10,NA,NA,NA,mg
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC18,triflusal,NA,NA,NA,0.6,NA,NA,NA,g,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC19,beraprost,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC21,treprostinil,NA,NA,NA,NA,4.3,NA,NA,NA,mg
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC22,prasugrel,NA,NA,NA,10,NA,NA,NA,mg,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC23,cilostazol,NA,NA,NA,0.2,NA,NA,NA,g,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC24,ticagrelor,NA,NA,NA,0.18,NA,NA,NA,g,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC25,cangrelor,NA,NA,NA,NA,50,NA,NA,NA,mg
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC26,vorapaxar,NA,NA,NA,2.08,NA,NA,NA,mg,NA
B,BLOOD AND BLOOD FORMING ORGANS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AC,Platelet aggregation inhibitors excl. heparin,"The DDDs are based on prophylaxis of thrombosis.  The DDDs of acetylsalicylic acid and carbasalate calcium are given as 1 tablet independent of tablet strength.  This is due to the great variations between different countries in the dosages/strengths recommended for prophylaxis of thrombosis.The DDD of iloprost is based on treatment of peripheral vascular disease.The DDD of vorapaxar is based on the content of one tablet (2.08 mg).The DDD of selexipag is based on treatment of pulmonary arterial hypertension.For combinations products, see list of DDDs for combinations, www.whocc.no.",B01AC27,selexipag,NA,NA,NA,1.8,NA,NA,NA,mg,NA
